Title,Author,Downloads,Book_URL
The Lock and Key Library: Classic Mystery and Detective Stories: Modern English,Unknown / Various,66636 downloads,https://www.gutenberg.org/ebooks/2038
The Man in the Brown Suit,Agatha Christie,66542 downloads,https://www.gutenberg.org/ebooks/61168
Library of the World's Best Mystery and Detective Stories,Unknown / Various,66442 downloads,https://www.gutenberg.org/ebooks/12758
Autobiography of a Yogi,Paramahansa Yogananda,66428 downloads,https://www.gutenberg.org/ebooks/7452
Ecce Homo,Friedrich Wilhelm Nietzsche,66410 downloads,https://www.gutenberg.org/ebooks/52190
"Weird Tales, Volume 1, Number 4, June, 1923: The unique magazine",Various,66375 downloads,https://www.gutenberg.org/ebooks/69608
Terminal Compromise,Winn Schwartau,66320 downloads,https://www.gutenberg.org/ebooks/79
"The Anabasis of Alexander :  or, The history of the wars and conquests of Alexander the Great",Arrian,66270 downloads,https://www.gutenberg.org/ebooks/46976
The Riddle of the Sands,Erskine Childers,66221 downloads,https://www.gutenberg.org/ebooks/2360
The House on the Borderland,William Hope Hodgson,66169 downloads,https://www.gutenberg.org/ebooks/10002
The Sorrows of Young Werther,Johann Wolfgang von Goethe,66156 downloads,https://www.gutenberg.org/ebooks/2527
The Big Four,Agatha Christie,66140 downloads,https://www.gutenberg.org/ebooks/70114
Mr. Standfast,John Buchan,66098 downloads,https://www.gutenberg.org/ebooks/560
The Cask of Amontillado,Edgar Allan Poe,66039 downloads,https://www.gutenberg.org/ebooks/1063
The Great God Pan,Arthur Machen,66036 downloads,https://www.gutenberg.org/ebooks/389
"Weird Tales, Volume 1, Number 1, March 1923: The unique magazine",Various,66030 downloads,https://www.gutenberg.org/ebooks/68957
Tales of Terror and Mystery,Arthur Conan Doyle,66013 downloads,https://www.gutenberg.org/ebooks/537
Reminiscences of a Stock Operator,Edwin Lefevre,65993 downloads,https://www.gutenberg.org/ebooks/60979
"Arsène Lupin, gentleman-cambrioleur (French)",Maurice Leblanc,65989 downloads,https://www.gutenberg.org/ebooks/32854
The Mystery of the Yellow Room,Gaston Leroux,65968 downloads,https://www.gutenberg.org/ebooks/1685
The mystery of the Blue Train,Agatha Christie,65933 downloads,https://www.gutenberg.org/ebooks/72824
Washington Confidential,Jack Lait and Lee Mortimer,65927 downloads,https://www.gutenberg.org/ebooks/63469
The Seven Dials mystery,Agatha Christie,65919 downloads,https://www.gutenberg.org/ebooks/75288
De Profundis,Oscar Wilde,65774 downloads,https://www.gutenberg.org/ebooks/921
The Dunwich horror,H. P. Lovecraft,65722 downloads,https://www.gutenberg.org/ebooks/50133
"The Mysteries of London, v. 4/4",George W. M. Reynolds,65675 downloads,https://www.gutenberg.org/ebooks/51649
Whose Body? A Lord Peter Wimsey Novel,Dorothy L. Sayers,65615 downloads,https://www.gutenberg.org/ebooks/58820
By Advice of Counsel,Arthur Cheney Train,65586 downloads,https://www.gutenberg.org/ebooks/11987
Paul Clifford — Complete,Baron Edward Bulwer Lytton Lytton,65553 downloads,https://www.gutenberg.org/ebooks/7735
The Red House Mystery,A. A. Milne,65516 downloads,https://www.gutenberg.org/ebooks/1872
Ghost Stories of an Antiquary,M. R. James,65441 downloads,https://www.gutenberg.org/ebooks/8486
The Samurai Strategy,Thomas Hoover,65432 downloads,https://www.gutenberg.org/ebooks/34323
The Diary of Samuel Pepys — Complete,Samuel Pepys,65382 downloads,https://www.gutenberg.org/ebooks/4200
Unnatural death,Dorothy L. Sayers,65301 downloads,https://www.gutenberg.org/ebooks/70008
The Empty House and Other Ghost Stories,Algernon Blackwood,65299 downloads,https://www.gutenberg.org/ebooks/14471
The problem of Cell 13,Jacques Futrelle,65247 downloads,https://www.gutenberg.org/ebooks/57669
The Insidious Dr. Fu Manchu,Sax Rohmer,65217 downloads,https://www.gutenberg.org/ebooks/173
"Friday, the Thirteenth: A Novel",Thomas William Lawson,65212 downloads,https://www.gutenberg.org/ebooks/12345
"The Strand Magazine, Vol. 27, February 1904, No. 159.",Various,65073 downloads,https://www.gutenberg.org/ebooks/47642
"The Works of Robert Louis Stevenson - Swanston Edition, Vol. 20",Robert Louis Stevenson,65068 downloads,https://www.gutenberg.org/ebooks/30849
